Port,Description,Close?
521,Routing Information Protocol Next Generation (RIPng),Could be closed
524,NetWare Core Protocol,Could be closed
525,"Timed, Timeserver",Could be closed
530,Remote procedure call (RPC),Could be closed
532,netnews,Could be closed
533,"netwall, For Emergency Broadcasts",Could be closed
540,Unix-to-Unix Copy Protocol,Could be closed
542,Commerce applications - Forinet uses,Could be closed
543,"klogin, Kerberos login",Could be closed
544,"kshell, Kerberos Remote shell",Could be closed
546,DHCPv6 client,Keep open
547,DHCPv6 server,Keep open
548,Apple Filing Protocol,Could be closed
550,"new-rwho, new-who",Could be closed
554,Real Time Streaming Protocol - VoD streaming,Could be closed
556,"Remotefs, RFS, rfs_server",Could be closed
560,"rmonitor, Remote Monitor",Could be closed
561,monitor,Could be closed
563,NNTP over TLS/SSL (NNTPS),Could be closed
564,9P - Plan 9,Could be closed
585,"Legacy use of IMAP, now in use at port 993",Should be closed
587,email message submission,Keep open
591,FileMaker Web Sharing - HTTP Alternate,Keep open
593,HTTP RPC Ep Map,Keep open
601,Reliable Syslog Service,Keep open
604,TUNNEL profile,Keep open
623,ASF Remote Management and Control Protocol,Could be closed
625,Open Directory Proxy,Could be closed
631,Internet Printing Protocol,Keep open
635,RLZ DBase,Should be closed
636,Lightweight Directory Access Protocol,Could be closed
639,"MSDP, Multicast Source Discovery Protocol",Could be closed
641,SupportSoft Nexus Remote Command,Could be closed
643,SANity,Could be closed
646,Label Distribution Protocol,Could be closed
647,DHCP Failover protocol,Keep open
648,Registry Registrar Protocol,Keep open
651,IEEE-MMS,Keep open
653,SupportSoft Nexus Remote Command (data),Could be closed
654,Media Management System,Could be closed
655,Tinc VPN daemon,Could be closed
657,IBM Remote monitoring and Control,Could be closed
660,macOS Server administration,Could be closed
666,Doom & airserv-ng,Should be closed
674,Application Configuration Access Protocol,Keep open
688,REALM-RUSD,Could be closed
690,Velneo Application Transfer Protocol,Could be closed
691,MS Exchange Routing,Keep open
694,Linux-HA high-availability heartbeat,Could be closed
695,IEEE Media Management System over SSL,Keep open
698,Optimized Link State Routing (OLSR),Keep open
700,Extensible Provisioning Protocol,Keep open
701,Link Management Protocol,Keep open
702,IRIS,Keep open
706,Secure Internet Live Conferencing,Could be closed
711,Cisco Tag Distribution Protocol,Could be closed
712,Topology Broadcast,Could be closed
749,Kerberos (protocol) administration[,Could be closed
750,"kerberos-iv, Kerberos version IV",Could be closed
751,"kerberos_master, Kerberos authentication",Could be closed
752,"passwd_server, Kerberos password server",Could be closed
753,"Reverse Routing Header, Kerberos userreg server",Could be closed
754,"tell send, Kerberos v5 slave propagation",Could be closed
760,"krbupdate, Kerberos registration",Could be closed
782,Conserver serial-console management server,Could be closed
783,SpamAssassin spamd daemon,Could be closed
800,mdbs-daemon,Could be closed
802,MODBUS/TCP Security,Could be closed
808,Microsoft Net.TCP Port Sharing Service,Could be closed
829,Certificate Management Protocol,Keep open
830,NETCONF over SSH,Could be closed
831,NETCONF over BEEP,Could be closed
832,NETCONF for SOAP over HTTPS,Could be closed
833,NETCONF for SOAP over BEEP,Could be closed
843,Adobe Flash,Should be closed
847,DHCP Failover protocol,Keep open
848,Group Domain Of Interpretation protocol,Could be closed
853,DNS over TLS,Keep open
860,iSCSI,Keep open
861,OWAMP control,Keep open
862,TWAMP control,Keep open
873,Rsync file synchronization protocol,Could be closed
888,"CD DataBase protocol, IBM Endpoint Manager Remote Control",Could be closed
897,Brocade SMI-S RPC,Could be closed
898,Brocade SMI-S RPC SSL,Could be closed
902,VMware ESXi,Could be closed
903,VMware ESXi,Could be closed
953,BIND remote name daemon control,Keep open
981,Remote HTTPS management for firewall devices,Keep open
987,Microsoft Remote Web Workplace,Could be closed
989,"FTPS Protocol (data), FTP over TLS/SSL",Could be closed
990,"FTPS Protocol (control), FTP over TLS/SSL",Could be closed
991,Netnews Administration System,Should be closed
992,Telnet protocol over TLS/SSL,Should be closed
993,Internet Message Access Protocol over TLS/SSL,Could be closed
994,Internet Relay Chat over TLS/SSL,Should be closed
995,Post Office Protocol 3 over TLS/SSL,Keep open
1010,ThinLinc web-based administration interface,Could be closed
1023,Network File System,Could be closed
5939,TeamViewer - Close if not in use,Could be closed
